.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
   63   100%   _collections_abc   (/root/.pyenv/versions/3.10.19/lib/python3.10/_collections_abc.py)
    5   100%   _distutils_hack.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_distutils_hack/__init__.py)
   15   100%   _pytest._argcomplete   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_argcomplete.py)
   72   100%   _pytest._code.code   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_code/code.py)
    2   100%   _pytest._code.source   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_code/source.py)
   36   100%   _pytest._io.terminalwriter   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_io/terminalwriter.py)
    9   100%   _pytest._io.wcwidth   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_io/wcwidth.py)
    5   100%   _pytest._py.path   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/_py/path.py)
   58   100%   _pytest.assertion.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/assertion/__init__.py)
  111   100%   _pytest.assertion.rewrite   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/assertion/rewrite.py)
  112   100%   _pytest.cacheprovider   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/cacheprovider.py)
  187   100%   _pytest.capture   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/capture.py)
   27   100%   _pytest.compat   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/compat.py)
  417   100%   _pytest.config.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/config/__init__.py)
  125   100%   _pytest.config.argparsing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/config/argparsing.py)
   22   100%   _pytest.config.compat   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/config/compat.py)
   59   100%   _pytest.config.findpaths   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/config/findpaths.py)
   33   100%   _pytest.debugging   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/debugging.py)
    1   100%   _pytest.deprecated   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/deprecated.py)
   49   100%   _pytest.doctest   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/doctest.py)
   53   100%   _pytest.faulthandler   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/faulthandler.py)
  380   100%   _pytest.fixtures   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/fixtures.py)
   87   100%   _pytest.helpconfig   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/helpconfig.py)
  126   100%   _pytest.junitxml   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/junitxml.py)
   24   100%   _pytest.legacypath   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/legacypath.py)
  225   100%   _pytest.logging   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/logging.py)
  437   100%   _pytest.main   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/main.py)
   37   100%   _pytest.mark.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/mark/__init__.py)
   23   100%   _pytest.mark.structures   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/mark/structures.py)
   23   100%   _pytest.monkeypatch   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/monkeypatch.py)
  105   100%   _pytest.nodes   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/nodes.py)
    9   100%   _pytest.outcomes   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/outcomes.py)
   31   100%   _pytest.pastebin   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/pastebin.py)
   75   100%   _pytest.pathlib   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/pathlib.py)
  186   100%   _pytest.python   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/python.py)
   57   100%   _pytest.reports   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/reports.py)
  168   100%   _pytest.runner   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/runner.py)
   10   100%   _pytest.scope   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/scope.py)
   36   100%   _pytest.setuponly   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/setuponly.py)
   22   100%   _pytest.setupplan   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/setupplan.py)
   96   100%   _pytest.skipping   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/skipping.py)
   14   100%   _pytest.stash   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/stash.py)
   62   100%   _pytest.stepwise   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/stepwise.py)
   12   100%   _pytest.subtests   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/subtests.py)
  405   100%   _pytest.terminal   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/terminal.py)
   60   100%   _pytest.threadexception   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/threadexception.py)
    4   100%   _pytest.timing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/timing.py)
   41   100%   _pytest.tmpdir   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/tmpdir.py)
    2   100%   _pytest.tracemalloc   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/tracemalloc.py)
  204   100%   _pytest.unittest   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/unittest.py)
   66   100%   _pytest.unraisableexception   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/unraisableexception.py)
   76   100%   _pytest.warnings   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/_pytest/warnings.py)
  711   100%   _sysconfigdata__linux_x86_64-linux-gnu   (/root/.pyenv/versions/3.10.19/lib/python3.10/_sysconfigdata__linux_x86_64-linux-gnu.py)
    8   100%   _weakrefset   (/root/.pyenv/versions/3.10.19/lib/python3.10/_weakrefset.py)
   19   100%   abc   (/root/.pyenv/versions/3.10.19/lib/python3.10/abc.py)
  137   100%   annotated_types.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/annotated_types/__init__.py)
   88   100%   anyio.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/__init__.py)
  438   100%   anyio._backends._asyncio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_backends/_asyncio.py)
   18   100%   anyio._backends._trio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_backends/_trio.py)
   30   100%   anyio._core._contextmanagers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_contextmanagers.py)
   55   100%   anyio._core._eventloop   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_eventloop.py)
   40   100%   anyio._core._exceptions   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_exceptions.py)
  192   100%   anyio._core._fileio   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_fileio.py)
    4   100%   anyio._core._resources   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_resources.py)
    6   100%   anyio._core._signals   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_signals.py)
  130   100%   anyio._core._sockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_sockets.py)
   11   100%   anyio._core._streams   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_streams.py)
   43   100%   anyio._core._subprocesses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_subprocesses.py)
  175   100%   anyio._core._synchronization   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_synchronization.py)
   35   100%   anyio._core._tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_tasks.py)
  187   100%   anyio._core._tempfile   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_tempfile.py)
   15   100%   anyio._core._testing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_testing.py)
   26   100%   anyio._core._typedattr   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/_core/_typedattr.py)
   45   100%   anyio.abc.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/__init__.py)
  169   100%   anyio.abc._eventloop   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_eventloop.py)
   12   100%   anyio.abc._resources   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_resources.py)
   79   100%   anyio.abc._sockets   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_sockets.py)
   75   100%   anyio.abc._streams   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_streams.py)
   30   100%   anyio.abc._subprocesses   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_subprocesses.py)
   33   100%   anyio.abc._tasks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/anyio/abc/_tasks.py)
